category,device,vendor,product,cve_count,facet,allowed_values,Value,Confidence,Reasoning
alarms,abus:secvest_hybrid_fumo50110,abus,secvest_hybrid_fumo50110,1,actuatesPhysical,true|false|unsure,,,
alarms,abus:secvest_hybrid_fumo50110,abus,secvest_hybrid_fumo50110,1,actuationConsequence,ComfortActuation|NoActuation|PropertyActuation|SafetyActuation|unsure,,,
alarms,abus:secvest_hybrid_fumo50110,abus,secvest_hybrid_fumo50110,1,capturesAV,true|false|unsure,,,
alarms,abus:secvest_hybrid_fumo50110,abus,secvest_hybrid_fumo50110,1,cloudDependence,CloudOptional|CloudRequired|LocalOnly|unsure,,,
alarms,abus:secvest_hybrid_fumo50110,abus,secvest_hybrid_fumo50110,1,computeTier,AndroidDerived|EmbeddedLinux|McuClass|Rtos|unsure,,,
alarms,abus:secvest_hybrid_fumo50110,abus,secvest_hybrid_fumo50110,1,consumerAvailability,InstallerChannel|MixedChannel|RetailConsumer|unsure,,,
alarms,abus:secvest_hybrid_fumo50110,abus,secvest_hybrid_fumo50110,1,dataSensitivity,AvStreamData|BiometricData|NoData|TelemetryData|unsure,,,
alarms,abus:secvest_hybrid_fumo50110,abus,secvest_hybrid_fumo50110,1,firmwareUpdateModel,ManualFlash|NoUpdatePath|OtaAutomatic|OtaUserInitiated|unsure,,,
alarms,abus:secvest_hybrid_fumo50110,abus,secvest_hybrid_fumo50110,1,formFactor,Fixed|Portable|Worn|unsure,,,
alarms,abus:secvest_hybrid_fumo50110,abus,secvest_hybrid_fumo50110,1,hasWebAdminUI,true|false|unsure,,,
alarms,abus:secvest_hybrid_fumo50110,abus,secvest_hybrid_fumo50110,1,placement,Either|Indoor|Outdoor|unsure,,,
alarms,abus:secvest_hybrid_fumo50110,abus,secvest_hybrid_fumo50110,1,supportLifetime,DeclaredLifetime|UndeclaredLifetime|unsure,,,
alarms,abus:secvest_wireless_alarm_system_fuaa50000,abus,secvest_wireless_alarm_system_fuaa50000,6,actuatesPhysical,true|false|unsure,,,
alarms,abus:secvest_wireless_alarm_system_fuaa50000,abus,secvest_wireless_alarm_system_fuaa50000,6,actuationConsequence,ComfortActuation|NoActuation|PropertyActuation|SafetyActuation|unsure,,,
alarms,abus:secvest_wireless_alarm_system_fuaa50000,abus,secvest_wireless_alarm_system_fuaa50000,6,capturesAV,true|false|unsure,,,
alarms,abus:secvest_wireless_alarm_system_fuaa50000,abus,secvest_wireless_alarm_system_fuaa50000,6,cloudDependence,CloudOptional|CloudRequired|LocalOnly|unsure,,,
alarms,abus:secvest_wireless_alarm_system_fuaa50000,abus,secvest_wireless_alarm_system_fuaa50000,6,computeTier,AndroidDerived|EmbeddedLinux|McuClass|Rtos|unsure,,,
alarms,abus:secvest_wireless_alarm_system_fuaa50000,abus,secvest_wireless_alarm_system_fuaa50000,6,consumerAvailability,InstallerChannel|MixedChannel|RetailConsumer|unsure,,,
alarms,abus:secvest_wireless_alarm_system_fuaa50000,abus,secvest_wireless_alarm_system_fuaa50000,6,dataSensitivity,AvStreamData|BiometricData|NoData|TelemetryData|unsure,,,
alarms,abus:secvest_wireless_alarm_system_fuaa50000,abus,secvest_wireless_alarm_system_fuaa50000,6,firmwareUpdateModel,ManualFlash|NoUpdatePath|OtaAutomatic|OtaUserInitiated|unsure,,,
alarms,abus:secvest_wireless_alarm_system_fuaa50000,abus,secvest_wireless_alarm_system_fuaa50000,6,formFactor,Fixed|Portable|Worn|unsure,,,
alarms,abus:secvest_wireless_alarm_system_fuaa50000,abus,secvest_wireless_alarm_system_fuaa50000,6,hasWebAdminUI,true|false|unsure,,,
alarms,abus:secvest_wireless_alarm_system_fuaa50000,abus,secvest_wireless_alarm_system_fuaa50000,6,placement,Either|Indoor|Outdoor|unsure,,,
alarms,abus:secvest_wireless_alarm_system_fuaa50000,abus,secvest_wireless_alarm_system_fuaa50000,6,supportLifetime,DeclaredLifetime|UndeclaredLifetime|unsure,,,
alarms,abus:secvest_wireless_control_fube50001,abus,secvest_wireless_control_fube50001,1,actuatesPhysical,true|false|unsure,,,
alarms,abus:secvest_wireless_control_fube50001,abus,secvest_wireless_control_fube50001,1,actuationConsequence,ComfortActuation|NoActuation|PropertyActuation|SafetyActuation|unsure,,,
alarms,abus:secvest_wireless_control_fube50001,abus,secvest_wireless_control_fube50001,1,capturesAV,true|false|unsure,,,
alarms,abus:secvest_wireless_control_fube50001,abus,secvest_wireless_control_fube50001,1,cloudDependence,CloudOptional|CloudRequired|LocalOnly|unsure,,,
alarms,abus:secvest_wireless_control_fube50001,abus,secvest_wireless_control_fube50001,1,computeTier,AndroidDerived|EmbeddedLinux|McuClass|Rtos|unsure,,,
alarms,abus:secvest_wireless_control_fube50001,abus,secvest_wireless_control_fube50001,1,consumerAvailability,InstallerChannel|MixedChannel|RetailConsumer|unsure,,,
alarms,abus:secvest_wireless_control_fube50001,abus,secvest_wireless_control_fube50001,1,dataSensitivity,AvStreamData|BiometricData|NoData|TelemetryData|unsure,,,
alarms,abus:secvest_wireless_control_fube50001,abus,secvest_wireless_control_fube50001,1,firmwareUpdateModel,ManualFlash|NoUpdatePath|OtaAutomatic|OtaUserInitiated|unsure,,,
alarms,abus:secvest_wireless_control_fube50001,abus,secvest_wireless_control_fube50001,1,formFactor,Fixed|Portable|Worn|unsure,,,
alarms,abus:secvest_wireless_control_fube50001,abus,secvest_wireless_control_fube50001,1,hasWebAdminUI,true|false|unsure,,,
alarms,abus:secvest_wireless_control_fube50001,abus,secvest_wireless_control_fube50001,1,placement,Either|Indoor|Outdoor|unsure,,,
alarms,abus:secvest_wireless_control_fube50001,abus,secvest_wireless_control_fube50001,1,supportLifetime,DeclaredLifetime|UndeclaredLifetime|unsure,,,
alarms,abus:secvest_wireless_remote_control_fube50014,abus,secvest_wireless_remote_control_fube50014,3,actuatesPhysical,true|false|unsure,,,
alarms,abus:secvest_wireless_remote_control_fube50014,abus,secvest_wireless_remote_control_fube50014,3,actuationConsequence,ComfortActuation|NoActuation|PropertyActuation|SafetyActuation|unsure,,,
alarms,abus:secvest_wireless_remote_control_fube50014,abus,secvest_wireless_remote_control_fube50014,3,capturesAV,true|false|unsure,,,
alarms,abus:secvest_wireless_remote_control_fube50014,abus,secvest_wireless_remote_control_fube50014,3,cloudDependence,CloudOptional|CloudRequired|LocalOnly|unsure,,,
alarms,abus:secvest_wireless_remote_control_fube50014,abus,secvest_wireless_remote_control_fube50014,3,computeTier,AndroidDerived|EmbeddedLinux|McuClass|Rtos|unsure,,,
alarms,abus:secvest_wireless_remote_control_fube50014,abus,secvest_wireless_remote_control_fube50014,3,consumerAvailability,InstallerChannel|MixedChannel|RetailConsumer|unsure,,,
alarms,abus:secvest_wireless_remote_control_fube50014,abus,secvest_wireless_remote_control_fube50014,3,dataSensitivity,AvStreamData|BiometricData|NoData|TelemetryData|unsure,,,
alarms,abus:secvest_wireless_remote_control_fube50014,abus,secvest_wireless_remote_control_fube50014,3,firmwareUpdateModel,ManualFlash|NoUpdatePath|OtaAutomatic|OtaUserInitiated|unsure,,,
alarms,abus:secvest_wireless_remote_control_fube50014,abus,secvest_wireless_remote_control_fube50014,3,formFactor,Fixed|Portable|Worn|unsure,,,
alarms,abus:secvest_wireless_remote_control_fube50014,abus,secvest_wireless_remote_control_fube50014,3,hasWebAdminUI,true|false|unsure,,,
alarms,abus:secvest_wireless_remote_control_fube50014,abus,secvest_wireless_remote_control_fube50014,3,placement,Either|Indoor|Outdoor|unsure,,,
alarms,abus:secvest_wireless_remote_control_fube50014,abus,secvest_wireless_remote_control_fube50014,3,supportLifetime,DeclaredLifetime|UndeclaredLifetime|unsure,,,
alarms,abus:secvest_wireless_remote_control_fube50015,abus,secvest_wireless_remote_control_fube50015,3,actuatesPhysical,true|false|unsure,,,
alarms,abus:secvest_wireless_remote_control_fube50015,abus,secvest_wireless_remote_control_fube50015,3,actuationConsequence,ComfortActuation|NoActuation|PropertyActuation|SafetyActuation|unsure,,,
alarms,abus:secvest_wireless_remote_control_fube50015,abus,secvest_wireless_remote_control_fube50015,3,capturesAV,true|false|unsure,,,
alarms,abus:secvest_wireless_remote_control_fube50015,abus,secvest_wireless_remote_control_fube50015,3,cloudDependence,CloudOptional|CloudRequired|LocalOnly|unsure,,,
alarms,abus:secvest_wireless_remote_control_fube50015,abus,secvest_wireless_remote_control_fube50015,3,computeTier,AndroidDerived|EmbeddedLinux|McuClass|Rtos|unsure,,,
alarms,abus:secvest_wireless_remote_control_fube50015,abus,secvest_wireless_remote_control_fube50015,3,consumerAvailability,InstallerChannel|MixedChannel|RetailConsumer|unsure,,,
alarms,abus:secvest_wireless_remote_control_fube50015,abus,secvest_wireless_remote_control_fube50015,3,dataSensitivity,AvStreamData|BiometricData|NoData|TelemetryData|unsure,,,
alarms,abus:secvest_wireless_remote_control_fube50015,abus,secvest_wireless_remote_control_fube50015,3,firmwareUpdateModel,ManualFlash|NoUpdatePath|OtaAutomatic|OtaUserInitiated|unsure,,,
alarms,abus:secvest_wireless_remote_control_fube50015,abus,secvest_wireless_remote_control_fube50015,3,formFactor,Fixed|Portable|Worn|unsure,,,
alarms,abus:secvest_wireless_remote_control_fube50015,abus,secvest_wireless_remote_control_fube50015,3,hasWebAdminUI,true|false|unsure,,,
alarms,abus:secvest_wireless_remote_control_fube50015,abus,secvest_wireless_remote_control_fube50015,3,placement,Either|Indoor|Outdoor|unsure,,,
alarms,abus:secvest_wireless_remote_control_fube50015,abus,secvest_wireless_remote_control_fube50015,3,supportLifetime,DeclaredLifetime|UndeclaredLifetime|unsure,,,
alarms,agshome_smart_alarm_project:agshome_smart_alarm,agshome_smart_alarm_project,agshome_smart_alarm,1,actuatesPhysical,true|false|unsure,,,
alarms,agshome_smart_alarm_project:agshome_smart_alarm,agshome_smart_alarm_project,agshome_smart_alarm,1,actuationConsequence,ComfortActuation|NoActuation|PropertyActuation|SafetyActuation|unsure,,,
alarms,agshome_smart_alarm_project:agshome_smart_alarm,agshome_smart_alarm_project,agshome_smart_alarm,1,capturesAV,true|false|unsure,,,
alarms,agshome_smart_alarm_project:agshome_smart_alarm,agshome_smart_alarm_project,agshome_smart_alarm,1,cloudDependence,CloudOptional|CloudRequired|LocalOnly|unsure,,,
alarms,agshome_smart_alarm_project:agshome_smart_alarm,agshome_smart_alarm_project,agshome_smart_alarm,1,computeTier,AndroidDerived|EmbeddedLinux|McuClass|Rtos|unsure,,,
alarms,agshome_smart_alarm_project:agshome_smart_alarm,agshome_smart_alarm_project,agshome_smart_alarm,1,consumerAvailability,InstallerChannel|MixedChannel|RetailConsumer|unsure,,,
alarms,agshome_smart_alarm_project:agshome_smart_alarm,agshome_smart_alarm_project,agshome_smart_alarm,1,dataSensitivity,AvStreamData|BiometricData|NoData|TelemetryData|unsure,,,
alarms,agshome_smart_alarm_project:agshome_smart_alarm,agshome_smart_alarm_project,agshome_smart_alarm,1,firmwareUpdateModel,ManualFlash|NoUpdatePath|OtaAutomatic|OtaUserInitiated|unsure,,,
alarms,agshome_smart_alarm_project:agshome_smart_alarm,agshome_smart_alarm_project,agshome_smart_alarm,1,formFactor,Fixed|Portable|Worn|unsure,,,
alarms,agshome_smart_alarm_project:agshome_smart_alarm,agshome_smart_alarm_project,agshome_smart_alarm,1,hasWebAdminUI,true|false|unsure,,,
alarms,agshome_smart_alarm_project:agshome_smart_alarm,agshome_smart_alarm_project,agshome_smart_alarm,1,placement,Either|Indoor|Outdoor|unsure,,,
alarms,agshome_smart_alarm_project:agshome_smart_alarm,agshome_smart_alarm_project,agshome_smart_alarm,1,supportLifetime,DeclaredLifetime|UndeclaredLifetime|unsure,,,
alarms,blitzwolf:bw-is22,blitzwolf,bw-is22,1,actuatesPhysical,true|false|unsure,,,
alarms,blitzwolf:bw-is22,blitzwolf,bw-is22,1,actuationConsequence,ComfortActuation|NoActuation|PropertyActuation|SafetyActuation|unsure,,,
alarms,blitzwolf:bw-is22,blitzwolf,bw-is22,1,capturesAV,true|false|unsure,,,
alarms,blitzwolf:bw-is22,blitzwolf,bw-is22,1,cloudDependence,CloudOptional|CloudRequired|LocalOnly|unsure,,,
alarms,blitzwolf:bw-is22,blitzwolf,bw-is22,1,computeTier,AndroidDerived|EmbeddedLinux|McuClass|Rtos|unsure,,,
