slug,facet,n_cves,cited_vendors,cited_share,top_uncited_vendor,top_uncited_share,verdict
airconditioner,computeTier,5,midea,,,,unmeasurable
airconditioner,supportLifetime,5,midea,,,,unmeasurable
airpurifier,cloudDependence,2,dyson,,,,unmeasurable
airpurifier,firmwareUpdateModel,2,dyson,,,,unmeasurable
airpurifier,patchResponsibility,2,dyson,,,,unmeasurable
airpurifier,supportLifetime,2,dyson,,,,unmeasurable
alarms,actuatesPhysical,89,anker|eufy,0.000,goabode,0.449,below-floor
alarms,adminModel,89,anker|eufy|goabode|qolsys,0.472,abus,0.090,representative
alarms,cloudDependence,89,anker|eufy|goabode|ring,0.449,abus,0.090,representative
alarms,computeTier,89,goabode|qolsys,0.472,abus,0.090,representative
alarms,consumerAvailability,89,anker|eufy|goabode|ring,0.449,abus,0.090,representative
alarms,hasWebAdminUI,89,anker|eufy|goabode|qolsys,0.472,abus,0.090,representative
alarms,supportLifetime,89,anker|assaabloy|eufy|konnected|yale,0.000,goabode,0.449,below-floor
appliances,adminModel,3,bsh,,,,unmeasurable
appliances,cloudDependence,3,bsh,,,,unmeasurable
appliances,credentialModel,3,bsh,,,,unmeasurable
appliances,supportLifetime,3,bosch|samsung,,,,unmeasurable
babymonitor,adminModel,18,d-link|dlink,0.444,summerinfant,0.111,representative
babymonitor,capturesAV,18,d-link|dlink|nanit,0.444,summerinfant,0.111,representative
babymonitor,computeTier,18,d-link|dlink,0.444,summerinfant,0.111,representative
babymonitor,credentialModel,18,d-link|dlink,0.444,summerinfant,0.111,representative
babymonitor,dataSensitivity,18,nanit,0.000,dlink,0.444,below-floor
babymonitor,firmwareUpdateModel,18,d-link|dlink,0.444,summerinfant,0.111,representative
babymonitor,hasWebAdminUI,18,d-link|dlink,0.444,summerinfant,0.111,representative
babymonitor,supportLifetime,18,motorola|nanit,0.000,dlink,0.444,below-floor
cameras,adminModel,885,d-link|dlink|hikvision|reolink,0.221,foscam,0.073,representative
cameras,alsoDeployedIn,885,dahuasecurity,0.034,reolink,0.116,below-floor
cameras,cloudDependence,885,reolink,0.116,dlink,0.086,representative
cameras,computeTier,885,d-link|dlink|hikvision|reolink,0.221,foscam,0.073,representative
cameras,credentialModel,885,,0.000,reolink,0.116,regulation
cameras,firmwareUpdateModel,885,d-link|dlink|hikvision|reolink,0.221,foscam,0.073,representative
cameras,hasWebAdminUI,885,d-link|dlink|hikvision|reolink,0.221,foscam,0.073,representative
cameras,pairingModel,885,hikvision|reolink,0.131,dlink,0.086,representative
cameras,patchResponsibility,885,reolink,0.116,dlink,0.086,representative
