Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Claude Judgment,Claude Confidence,Claude Reasoning
vendor_only,CVE-2019-12324,2019-07-22,A command injection (missing input validation) issue in the IP address field for the logging server in the configuration web interface on the Akuvox R50P VoIP phone with firmware 50.0.6.156 allows an authenticated remote attacker in the same network to trigger OS commands via shell metacharacters in a POST request.,7.2,3.0,CWE-78,cpe:2.3:o:akuvox:sp-r50p_firmware:50.0.6.156:*:*:*:*:*:*:*|cpe:2.3:h:akuvox:sp-r50p:-:*:*:*:*:*:*:*,No,Low,"Akuvox is a door-intercom vendor, but the R50P is a SIP desktop/VoIP telephone, not a door phone or doorbell."
vendor_only,CVE-2019-12326,2019-07-22,"Missing file and path validation in the ringtone upload function of the Akuvox R50P VoIP phone 50.0.6.156 allows an attacker to upload a manipulated ringtone file, with an executable payload (shell commands within the file) and trigger code execution.",9.8,3.0,CWE-434,cpe:2.3:o:akuvox:sp-r50p_firmware:50.0.6.156:*:*:*:*:*:*:*|cpe:2.3:h:akuvox:sp-r50p:-:*:*:*:*:*:*:*,Yes,Low,"Akuvox SP-R50P is an IP video door phone/intercom; while primarily used in multi-unit residential buildings, single-family home deployments are common and the device functions as a video doorbell/entry intercom"
vendor_only,CVE-2019-12327,2019-07-22,Hardcoded credentials in the Akuvox R50P VoIP phone 50.0.6.156 allow an attacker to get access to the device via telnet. The telnet service is running on port 2323; it cannot be turned off and the credentials cannot be changed.,9.8,3.0,CWE-798,cpe:2.3:o:akuvox:sp-r50p_firmware:50.0.6.156:*:*:*:*:*:*:*|cpe:2.3:h:akuvox:sp-r50p:-:*:*:*:*:*:*:*,No,Low,"Akuvox is a door-intercom vendor, but the R50P is a SIP desktop/VoIP telephone, not a door phone or doorbell."
vendor_only,CVE-2017-16778,2019-12-24,"An access control weakness in the DTMF tone receiver of Fermax Outdoor Panel allows physical attackers to inject a Dual-Tone-Multi-Frequency (DTMF) tone to invoke an access grant that would allow physical access to a restricted floor/level. By design, only a residential unit owner may allow such an access grant. However, due to incorrect access control, an attacker could inject it via the speaker unit to perform an access grant to gain unauthorized access, as demonstrated by a loud DTMF tone representing '1' and a long '#' (697 Hz and 1209 Hz, followed by 941 Hz and 1477 Hz).",4.6,3.1,CWE-863,cpe:2.3:o:fermax:outdoor_panel_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:fermax:outdoor_panel:-:*:*:*:*:*:*:*,Maybe,Low,"Fermax outdoor door-entry/intercom panel that grants building floor access; residential apartment context but a multi-tenant building entry system rather than a single-home video doorbell, so category fit is uncertain."
vendor_only,CVE-2022-40903,2022-11-14,"Aiphone GT-DMB-N 3-in-1 Video Entrance Station with NFC Reader 1.0.3 does not mitigate against repeated failed access attempts, which allows an attacker to gain administrative privileges.",6.5,3.1,CWE-307,cpe:2.3:o:aiphone:gt-dmb-n_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:aiphone:gt-dmb-n:-:*:*:*:*:*:*:*|cpe:2.3:o:aiphone:gt-dmb_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:aiphone:gt-dmb:-:*:*:*:*:*:*:*|cpe:2.3:o:aiphone:gt-dmb-lvn_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:aiphone:gt-dmb-lvn:-:*:*:*:*:*:*:*|cpe:2.3:o:aiphone:gt-db-vn_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:aiphone:gt-db-vn:-:*:*:*:*:*:*:*,Maybe,Low,"Aiphone GT-series video entrance station is a door-entry/intercom unit, but the GT line targets multi-tenant apartment/commercial buildings rather than single-family homes, so residential fit is uncertain."
vendor_only,CVE-2023-0343,2023-03-31,"Akuvox E11 contains a function that encrypts messages which are then forwarded. The IV vector and the key are static, and this may allow an attacker to decrypt messages.",7.5,3.1,CWE-330,cpe:2.3:o:akuvox:e11_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:akuvox:e11:-:*:*:*:*:*:*:*,Yes,High,Akuvox E11 is a residential smart video door phone (video doorbell intercom); static IV/key reuse enabling message decryption on it is a genuine doorbell vulnerability.
vendor_only,CVE-2023-0344,2023-03-31,Akuvox E11 appears to be using a custom version of dropbear SSH server. This server allows an insecure option that by default is not in the official dropbear SSH server.,7.5,3.1,,cpe:2.3:o:akuvox:e11_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:akuvox:e11:-:*:*:*:*:*:*:*,Yes,High,Akuvox E11 is a residential video door phone; an insecure dropbear SSH option enabled on it is in scope.
vendor_only,CVE-2024-44097,2024-10-02,"According to the researcher: ""The TLS connections are encrypted against tampering or eavesdropping. However, the application does not validate the server certificate properly while initializing the TLS connection. This allows for a network attacker to intercept the connection and read the data. The attacker could the either send the client a malicious response, or forward the (possibly modified) data to the real server.""",9.8,3.1,CWE-269,"cpe:2.3:o:google:nest_doorbell_\(battery\)_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:google:nest_doorbell_\(battery\):-:*:*:*:*:*:*:*|cpe:2.3:o:google:nest_cam_\(outdoor_or_indoor\,_battery\)_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:google:nest_cam_\(outdoor_or_indoor\,_battery\):-:*:*:*:*:*:*:*|cpe:2.3:o:google:nest_cam_with_floodlight_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:google:nest_cam_with_floodlight:-:*:*:*:*:*:*:*|cpe:2.3:o:google:nest_cam_\(indoor\,_wired\)_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:google:nest_cam_\(indoor\,_wired\):-:*:*:*:*:*:*:*",Yes,High,
vendor_only,CVE-2024-48774,2024-10-11,An issue in Fermax Asia Pacific Pte Ltd com.fermax.vida 2.4.6 allows a remote attacker to obtain sensitve information via the firmware update process.,7.5,3.1,CWE-306,,Yes,Low,"Fermax VIDA is Fermax's own companion app for its door-entry/video-doorbell hardware; a sensitive-information leak during the device's firmware-update process is an attack on the doorbell system via its official app, which counts as in scope."
vendor_only,CVE-2020-9473,2020-04-06,"The S. Siedle & Soehne SG 150-0 Smart Gateway before 1.2.4 has a passwordless ftp ssh user. By using an exploit chain, an attacker with access to the network can get root access on the gateway.",6.6,3.1,CWE-306,cpe:2.3:o:siedle:sg_150-0_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:siedle:sg_150-0:-:*:*:*:*:*:*:*,Yes,Low,S. Siedle & Soehne produces residential door intercom and video entry systems; the SG 150-0 Smart Gateway is the hub for their door communication products used in homes; also deployed in multi-family/commercial buildings
