Category,Direction,Verdicts,Review Reason,cve_id,description,cpe_strings,Difference Type,published,cvss_score,cvss_version,cwe_ids,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Human Verdict 1,Human Notes 1,Human Verdict 2,Human Notes 2
airconditioner,vendor_only,C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2015-2867,A design flaw in the Trane ComfortLink II SCC firmware version 2.0.2 service allows remote attackers to take complete control of the system.,cpe:2.3:o:trane:comfortlink_ii_firmware:2.0.2:*:*:*:*:*:*:*,vendor_only,2017-01-06,9.8,3.0,CWE-798,Yes,High,,No,High,,Yes,High,,Yes,,No,"Trane ComfortLink II is a smart thermostat/HVAC controller, not an air conditioner unit — belongs in thermostat."
airconditioner,vendor_only,C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2015-2868,"An exploitable remote code execution vulnerability exists in the Trane ComfortLink II firmware version 2.0.2 in DSS service. An attacker who can connect to the DSS service on the Trane ComfortLink II device can send an overly long REG request that can overflow a fixed size stack buffer, resulting in arbitrary code execution.",cpe:2.3:o:trane:comfortlink_ii_firmware:2.0.2:*:*:*:*:*:*:*,vendor_only,2017-01-06,9.8,3.0,CWE-119,Yes,High,,No,High,,Yes,High,,Yes,,No,"Trane ComfortLink II is a smart thermostat/HVAC controller, not an air conditioner unit — belongs in thermostat."
airconditioner,vendor_only,C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2022-38355,"Daikin SVMPC1 version 2.1.22 and prior and SVMPC2 version 1.2.3 and prior are vulnerable to 

attackers with access to the local area network (LAN) to disclose sensitive information stored by the affected product without requiring authentication.

",cpe:2.3:a:daikinlatam:svmpc1:*:*:*:*:*:*:*:*|cpe:2.3:a:daikinlatam:svmpc2:*:*:*:*:*:*:*:*,vendor_only,2022-12-13,5.5,3.1,CWE-284,No,Low,"Daikin SVMPC1/2 is a virtual media PC controller for Daikin VRV/VRF commercial HVAC systems; VRV systems are commercial-grade multi-zone air conditioning infrastructure used in offices and hotels, not residential consumer home AC units; fails criterion 3",No,High,,Yes,High,,No,,No,"Daikin SVMPC commercial VRV/VRF building HVAC software, not a consumer home AC unit."
airconditioner,vendor_only,C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2022-41653,Daikin SVMPC1 version 2.1.22 and prior and SVMPC2 version 1.2.3 and prior are vulnerable to an attacker obtaining user login credentials and control the system.,cpe:2.3:a:daikinlatam:svmpc1:*:*:*:*:*:*:*:*|cpe:2.3:a:daikinlatam:svmpc2:*:*:*:*:*:*:*:*,vendor_only,2022-12-13,9.8,3.1,CWE-259|CWE-798,No,Low,"Daikin SVMPC1/2 is a virtual media PC controller for Daikin VRV/VRF commercial HVAC systems; VRV systems are commercial-grade multi-zone air conditioning infrastructure used in offices and hotels, not residential consumer home AC units; fails criterion 3",No,High,,Yes,High,,No,,No,
airconditioner,vendor_only,C:No/Low  X:No/High  G:Maybe/Low,judgments not unanimous,CVE-2024-3764,** DISPUTED ** A vulnerability classified as problematic has been found in Tuya SDK up to 5.0.x. Affected is an unknown function of the component MQTT Packet Handler. The manipulation leads to denial of service. It is possible to launch the attack remotely. The exploit has been disclosed to the public and may be used. The real existence of this vulnerability is still doubted at the moment. Upgrading to version 5.1.0 is able to address this issue. It is recommended to upgrade the affected component. The identifier of this vulnerability is VDB-260604. NOTE: The vendor explains that a malicious actor would have to crack TLS first or use a legitimate login to initiate the attack.,,vendor_only,2024-04-14,2.7,3.1,CWE-404,No,Low,"Tuya SDK is a development platform used across many IoT product categories; this CVE affects the SDK or app layer, not a specific home air conditioner device; Tuya is used in many non-AC device types as well",No,High,,Maybe,Low,"The Tuya SDK is widely used in a vast array of home IoT devices, including smart air conditioners. However, the CVE description describes a vulnerability in the SDK itself, not a specific device. Since the SDK is used in many home IoT categories, it is plausible it affects smart air conditioners, but the description does not explicitly name the device category.",No,,No,"Tuya SDK/platform software, not a specific home air conditioner device."
airconditioner,vendor_only,C:Yes/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2019-19643,ise smart connect KNX Vaillant 1.2.839 contain a Denial of Service.,cpe:2.3:a:ise:smart_connect_knx_vaillant:1.2.839:*:*:*:*:*:*:*,vendor_only,2020-08-14,7.5,3.1,CWE-835,Yes,Low,"ise smart connect KNX Vaillant is a KNX bus interface module for Vaillant home heating and heat pump systems; Vaillant manufactures residential heating/cooling systems, making this plausibly a home climate control IoT device, though the specific deployment context (residential vs. commercial) is not confirmed in the description",No,High,,Yes,High,,Yes,,No,"KNX heating/heat-pump interface gateway, not a home air conditioner."
airconditioner,vendor_only,C:No/High  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2025-5022,"Weak Password Requirements vulnerability in Mitsubishi Electric Corporation photovoltaic system monitor “EcoGuideTAB” PV-DR004J all versions and PV-DR004JA all versions allows an attacker within the Wi-Fi communication range between the units of the product (measurement unit and display unit) to derive the password from the SSID. In addition, if the product is configured to enable the individual air conditioner control function, an attacker who has access to the Wi-Fi communication between the units by exploiting this vulnerability may be able to execute ECHONET Lite commands to perform operations such as turning the air conditioner on or off and changing the set temperature. The individual air conditioner control function is available only in display unit version 02.00.01 or later and measurement unit version 02.03.01 or later. The affected products discontinued in 2015, support ended in 2020.",,vendor_only,2025-07-10,6.5,3.1,CWE-521,No,High,"The vulnerable product is Mitsubishi's EcoGuideTAB, a photovoltaic (solar) system monitor, not an air-conditioner unit; the SSID-derived password weakness lives in the Wi-Fi link between the monitor's own measurement and display units. Individual air-conditioner control via ECHONET Lite is only a secondary integration reachable once that link is compromised, and the affected products were discontinued in 2015 with support ended in 2020. Better scoped to home-power/solar monitoring than to the airconditioner category.",Yes,High,,Yes,High,,Yes,,No,"Solar/PV system monitor; optional AC control is a side feature — belongs in home-power, not airconditioner."
airconditioner,vendor_only,C:Yes/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2025-10127,"Daikin Europe N.V

Security Gateway is vulnerable to an authorization bypass through
 a user-controlled key vulnerability that could allow an attacker to 
bypass authentication. An unauthorized attacker could access the system 
without prior credentials.",,vendor_only,2025-09-11,9.8,3.1,CWE-640,Yes,Low,"Daikin Europe Security Gateway is an internet connectivity gateway for Daikin HVAC systems; Daikin manufactures both residential and commercial air conditioners, making deployment context ambiguous; the gateway enables remote monitoring/control of Daikin systems",No,High,,Yes,High,,Yes,,No,"Daikin HVAC remote-access gateway, not a home air conditioner unit."
airconditioner,vendor_only,C:No/Low  X:No/High  G:Maybe/Low,judgments not unanimous,CVE-2026-28519,"arduino-TuyaOpen before version 1.2.1 contains a heap-based buffer overflow vulnerability in the DnsServer component. An attacker on the same local area network who controls the LAN DNS server can send malicious DNS responses to overflow the heap buffer, potentially allowing execution of arbitrary code on affected embedded devices.",cpe:2.3:a:tuya:arduino-tuyaopen:*:*:*:*:*:*:*:*,vendor_only,2026-03-16,8.8,3.1,CWE-122,No,Low,"arduino-TuyaOpen is a development SDK for building Tuya-compatible IoT devices; while home AC devices may use Tuya, this CVE is in the SDK platform itself rather than a specific home air conditioner; the SDK is used across many IoT device categories",No,High,,Maybe,Low,"Tuya is a major provider of IoT platforms for many home devices, including smart air conditioners. However, the CVE describes a vulnerability in a library (arduino-tuyaopen) used for Arduino-based development, which could be used in a wide variety of embedded devices, both home and industrial. It is not specific to air conditioners.",No,,No,"Tuya SDK/platform software, not a specific home air conditioner device."
airconditioner,vendor_only,C:No/Low  X:No/High  G:Yes/Low,judgments not unanimous,CVE-2026-28520,"arduino-TuyaOpen before version 1.2.1 contains a single-byte buffer overflow vulnerability in the WiFiMulti component. When the victim's smart hardware connects to an attacker-controlled AP hotspot, the attacker can exploit the overflow to execute arbitrary code on the affected embedded device.",cpe:2.3:a:tuya:arduino-tuyaopen:*:*:*:*:*:*:*:*,vendor_only,2026-03-16,8.4,3.1,CWE-193,No,Low,"arduino-TuyaOpen is a development SDK for building Tuya-compatible IoT devices; while home AC devices may use Tuya, this CVE is in the SDK platform itself rather than a specific home air conditioner; the SDK is used across many IoT device categories",No,High,,Yes,Low,"Tuya is a major provider of IoT platforms for smart home devices, including smart air conditioners. The 'arduino-TuyaOpen' library is used for developing embedded devices that connect to the Tuya ecosystem. While the CVE describes a vulnerability in a WiFi component of a library rather than a specific air conditioner model, it is highly plausible that this library is used in smart air conditioners.",No,,No,
airconditioner,vendor_only,C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2026-28521,"arduino-TuyaOpen before version 1.2.1 contains an out-of-bounds memory read vulnerability in the TuyaIoT component. An attacker who hijacks or controls the Tuya cloud service can issue malicious DP event data to victim devices, causing out-of-bounds memory access that may result in information disclosure or a denial-of-service condition.",cpe:2.3:a:tuya:arduino-tuyaopen:*:*:*:*:*:*:*:*,vendor_only,2026-03-16,7.7,3.1,CWE-125,No,Low,"arduino-TuyaOpen is a development SDK for building Tuya-compatible IoT devices; while home AC devices may use Tuya, this CVE is in the SDK platform itself rather than a specific home air conditioner; the SDK is used across many IoT device categories",No,High,,Yes,High,,No,,No,
airconditioner,vendor_only,C:No/Low  X:No/High  G:Maybe/Low,judgments not unanimous,CVE-2026-28522,"arduino-TuyaOpen before version 1.2.1 contains a null pointer dereference vulnerability in the WiFiUDP component. An attacker on the same local area network can send a large volume of malicious UDP packets that trigger a null pointer dereference, resulting in a denial-of-service condition.",cpe:2.3:a:tuya:arduino-tuyaopen:*:*:*:*:*:*:*:*,vendor_only,2026-03-16,6.5,3.1,CWE-476,No,Low,"arduino-TuyaOpen is a development SDK for building Tuya-compatible IoT devices; while home AC devices may use Tuya, this CVE is in the SDK platform itself rather than a specific home air conditioner; the SDK is used across many IoT device categories",No,High,,Maybe,Low,"Tuya is a major provider of home IoT platforms, and 'arduino-tuyaopen' suggests a library for Tuya-compatible devices, which often include smart air conditioners. However, the CVE specifically targets a software library (arduino-tuyaopen) rather than a specific device, and it's unclear if this library is used in a commercial smart air conditioner or a DIY project.",No,,No,
